age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,monthyear,name,outcome_subtype,outcome_type,sex_upon_outcome,age,puppy,dob_year,dob_month,dob_monthyear,outcome_month,outcome_year,outcome_weekday,outcome_hour,color1,color2
1 year,A741093,Bird,owl,brown,2015-12-28 00:00:00,2016-12-28 09:59:00,2016-12-28 09:59:00,,Suffering,Euthanasia,Unknown,366,False,2015,12,2016-12,12,2016,2,9,brown,
1 year,A720761,Bird,chicken,white,2015-02-14 00:00:00,2016-03-09 10:58:00,2016-03-09 10:58:00,Rooster  D15,,Disposal,Intact Male,389,False,2015,2,2016-03,3,2016,2,10,white,
5 years,A721860,Bird,parrot,green/gray,2011-03-06 00:00:00,2016-03-10 20:22:00,2016-03-10 20:22:00,,,Adoption,Unknown,1831,False,2011,3,2016-03,3,2016,3,20,green,gray
1 year,A720735,Bird,chicken,black/cream,2015-02-14 00:00:00,2016-03-08 18:14:00,2016-03-08 18:14:00,Rooster 19,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,18,black,cream
2 years,A731434,Bird,heron,gray/brown,2014-07-22 00:00:00,2016-07-22 00:00:00,2016-07-22 00:00:00,,Partner,Transfer,Unknown,731,False,2014,7,2016-07,7,2016,4,0,gray,brown
1 year,A722609,Bird,chicken,red,2015-03-19 00:00:00,2016-04-15 11:48:00,2016-04-15 11:48:00,,,Adoption,Intact Male,393,False,2015,3,2016-04,4,2016,4,11,red,
1 year,A720744,Bird,chicken,black/red,2015-02-14 00:00:00,2016-03-08 13:49:00,2016-03-08 13:49:00,Rooster 28,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,13,black,red
6 months,A736790,Bird,quaker,green,2016-04-17 00:00:00,2016-10-25 08:43:00,2016-10-25 08:43:00,,Suffering,Euthanasia,Unknown,191,True,2016,4,2016-10,10,2016,1,8,green,
1 year,A744090,Bird,parakeet,green/black,2016-02-23 00:00:00,2017-03-30 07:43:00,2017-03-30 07:43:00,Marley,Foster,Adoption,Intact Male,401,False,2016,2,2017-03,3,2017,3,7,green,black
6 months,A745684,Bird,parakeet,white,2016-09-25 00:00:00,2017-03-29 11:12:00,2017-03-29 11:12:00,,,Adoption,Unknown,185,True,2016,9,2017-03,3,2017,2,11,white,
4 months,A733254,Bird,chicken,brown/black,2016-04-19 00:00:00,2016-08-24 13:44:00,2016-08-24 13:44:00,,,Adoption,Intact Female,127,True,2016,4,2016-08,8,2016,2,13,brown,black
2 years,A724341,Bird,chicken,black/red,2014-04-15 00:00:00,2016-05-04 14:44:00,2016-05-04 14:44:00,,,Adoption,Intact Male,750,False,2014,4,2016-05,5,2016,2,14,black,red
1 year,A727058,Bird,parakeet,green/blue,2015-05-17 00:00:00,2016-05-21 11:47:00,2016-05-21 11:47:00,,,Adoption,Unknown,370,False,2015,5,2016-05,5,2016,5,11,green,blue
5 days,A722594,Bird,duck,yellow,2016-03-19 00:00:00,2016-03-24 12:37:00,2016-03-24 12:37:00,,Foster,Adoption,Unknown,5,True,2016,3,2016-03,3,2016,3,12,yellow,
1 year,A720722,Bird,chicken,black/chocolate,2015-02-14 00:00:00,2016-03-08 16:05:00,2016-03-08 16:05:00,Rooster 6,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,16,black,chocolate
2 years,A726890,Bird,bluebird,blue,2014-05-16 00:00:00,2016-05-16 12:07:00,2016-05-16 12:07:00,,Medical,Euthanasia,Unknown,731,False,2014,5,2016-05,5,2016,0,12,blue,
1 year,A720725,Bird,chicken,red/black,2015-02-14 00:00:00,2016-03-08 18:56:00,2016-03-08 18:56:00,Rooster 9,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,18,red,black
2 years,A703855,Bird,parakeet,green/blue,2013-05-29 00:00:00,2015-06-22 00:00:00,2015-06-22 00:00:00,,Partner,Transfer,Unknown,754,False,2013,5,2015-06,6,2015,0,0,green,blue
4 weeks,A763587,Bird,chicken,tricolor,2017-11-11 00:00:00,2017-12-13 11:15:00,2017-12-13 11:15:00,*Mona,Partner,Transfer,Intact Female,32,True,2017,11,2017-12,12,2017,2,11,tricolor,
1 year,A714300,Bird,chicken,orange/white,2014-10-21 00:00:00,2015-10-21 19:28:00,2015-10-21 19:28:00,,Suffering,Euthanasia,Unknown,365,True,2014,10,2015-10,10,2015,2,19,orange,white
6 months,A761029,Bird,chicken,brown/white,2017-04-27 00:00:00,2017-10-31 00:00:00,2017-10-31 00:00:00,Lafayette,Partner,Transfer,Intact Male,187,True,2017,4,2017-10,10,2017,1,0,brown,white
1 year,A695738,Bird,conure,green/orange,2014-01-21 00:00:00,2015-06-14 14:37:00,2015-06-14 14:37:00,Guey,,Return to Owner,Unknown,509,False,2014,1,2015-06,6,2015,6,14,green,orange
6 months,A761028,Bird,chicken,white/black,2017-04-27 00:00:00,2017-10-31 00:00:00,2017-10-31 00:00:00,Winter,Partner,Transfer,Intact Male,187,True,2017,4,2017-10,10,2017,1,0,white,black
3 years,A734710,Bird,chicken,gray/tan,2013-09-11 00:00:00,2016-09-11 14:29:00,2016-09-11 14:29:00,Tammy Wynett,Suffering,Euthanasia,Intact Female,1096,False,2013,9,2016-09,9,2016,6,14,gray,tan
1 year,A728348,Bird,dove,gray,2015-06-02 00:00:00,2016-06-02 16:26:00,2016-06-02 16:26:00,,Suffering,Euthanasia,Unknown,366,False,2015,6,2016-06,6,2016,3,16,gray,
1 year,A701871,Bird,chicken,yellow/white,2014-05-05 00:00:00,2015-05-09 18:54:00,2015-05-09 18:54:00,,,Adoption,Intact Male,369,False,2014,5,2015-05,5,2015,5,18,yellow,white
6 months,A715013,Bird,mockingbird,gray/black,2015-04-30 00:00:00,2015-10-30 13:54:00,2015-10-30 13:54:00,,,Relocate,Unknown,183,True,2015,4,2015-10,10,2015,4,13,gray,black
2 years,A734937,Bird,chicken,sable,2014-09-15 00:00:00,2016-09-27 00:00:00,2016-09-27 00:00:00,,Partner,Transfer,Intact Male,743,False,2014,9,2016-09,9,2016,1,0,sable,
6 months,A751514,Bird,chicken,red,2016-12-09 00:00:00,2017-06-10 10:42:00,2017-06-10 10:42:00,Starlight,Offsite,Adoption,Unknown,183,True,2016,12,2017-06,6,2017,5,10,red,
1 year,A764577,Bird,muscovy,white/green,2017-01-02 00:00:00,2018-01-05 13:23:00,2018-01-05 13:23:00,,Partner,Transfer,Unknown,368,False,2017,1,2018-01,1,2018,4,13,white,green
6 months,A765436,Bird,chicken,tan/red,2017-07-20 00:00:00,2018-01-24 14:32:00,2018-01-24 14:32:00,Flip,,Adoption,Intact Male,188,True,2017,7,2018-01,1,2018,2,14,tan,red
,A765547,Bird,leghorn,white/red,2017-01-22 00:00:00,2018-01-25 13:23:00,2018-01-25 13:23:00,,Partner,Transfer,Intact Female,368,False,2017,1,2018-01,1,2018,3,13,white,red
1 year,A765059,Bird,chicken,black/white,2017-01-12 00:00:00,2018-01-29 19:42:00,2018-01-29 19:42:00,,Foster,Adoption,Intact Female,382,False,2017,1,2018-01,1,2018,0,19,black,white
2 years,A765221,Bird,pheasant,gold/brown,2016-01-15 00:00:00,2018-01-18 15:49:00,2018-01-18 15:49:00,,Partner,Transfer,Unknown,734,False,2016,1,2018-01,1,2018,3,15,gold,brown
