age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,monthyear,name,outcome_subtype,outcome_type,sex_upon_outcome,age,puppy,dob_year,dob_month,dob_monthyear,outcome_month,outcome_year,outcome_weekday,outcome_hour,color1,color2
2 weeks,A735918,Bird,chicken,black,2016-09-26 00:00:00,2016-10-13 16:28:00,2016-10-13 16:28:00,Eddie,Partner,Transfer,Intact Male,17,True,2016,9,2016-10,10,2016,3,16,black,
1 year,A720728,Bird,chicken,black/cream,2015-02-14 00:00:00,2016-03-08 14:24:00,2016-03-08 14:24:00,Rooster 12,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,14,black,cream
1 year,A720721,Bird,chicken,black/cream,2015-02-14 00:00:00,2016-03-09 10:55:00,2016-03-09 10:55:00,Rooster 5,Suffering,Euthanasia,Intact Male,389,False,2015,2,2016-03,3,2016,2,10,black,cream
1 year,A728177,Bird,grackle,brown,2015-05-31 00:00:00,2016-05-31 17:55:00,2016-05-31 17:55:00,,Suffering,Euthanasia,Unknown,366,False,2015,5,2016-05,5,2016,1,17,brown,
20 years,A740126,Bird,cockatoo,white/orange,1996-12-11 00:00:00,2016-12-16 00:00:00,2016-12-16 00:00:00,Sunny,Partner,Transfer,Intact Male,7310,False,1996,12,2016-12,12,2016,4,0,white,orange
1 year,A760390,Bird,heron,gray,2016-10-17 00:00:00,2017-10-17 14:32:00,2017-10-17 14:32:00,,Suffering,Euthanasia,Unknown,365,True,2016,10,2017-10,10,2017,1,14,gray,
1 year,A722595,Bird,chicken,red,2015-03-19 00:00:00,2016-04-10 18:23:00,2016-04-10 18:23:00,,Suffering,Euthanasia,Intact Male,388,False,2015,3,2016-04,4,2016,6,18,red,
3 years,A710937,Bird,owl,tricolor,2012-08-30 00:00:00,2015-08-30 13:58:00,2015-08-30 13:58:00,,Medical,Euthanasia,Unknown,1095,False,2012,8,2015-08,8,2015,6,13,tricolor,
2 years,A718594,Bird,budgerigar,blue/yellow,2014-01-02 00:00:00,2016-01-09 18:57:00,2016-01-09 18:57:00,Chatterbox,Foster,Adoption,Intact Male,737,False,2014,1,2016-01,1,2016,5,18,blue,yellow
1 year,A720727,Bird,chicken,black/red,2015-02-14 00:00:00,2016-03-08 13:47:00,2016-03-08 13:47:00,Rooster 11,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,13,black,red
1 year,A720742,Bird,chicken,black/red,2015-02-14 00:00:00,2016-03-08 00:00:00,2016-03-08 00:00:00,Rooster 26,Partner,Transfer,Intact Male,388,False,2015,2,2016-03,3,2016,1,0,black,red
7 months,A761210,Bird,chicken,white,2017-03-31 00:00:00,2017-11-04 18:37:00,2017-11-04 18:37:00,,,Adoption,Intact Male,218,True,2017,3,2017-11,11,2017,5,18,white,
1 year,A731620,Bird,quaker,green,2015-07-25 00:00:00,2016-07-25 16:46:00,2016-07-25 16:46:00,,Partner,Transfer,Unknown,366,False,2015,7,2016-07,7,2016,0,16,green,
1 year,A748147,Bird,parakeet,blue/white,2016-04-29 00:00:00,2017-05-07 11:40:00,2017-05-07 11:40:00,,,Disposal,Unknown,373,False,2016,4,2017-05,5,2017,6,11,blue,white
5 months,A754727,Bird,song bird,gray/white,2017-01-23 00:00:00,2017-07-23 16:36:00,2017-07-23 16:36:00,,Medical,Euthanasia,Unknown,181,True,2017,1,2017-07,7,2017,6,16,gray,white
4 weeks,A750282,Bird,chicken,brown,2017-04-25 00:00:00,2017-05-25 12:39:00,2017-05-25 12:39:00,,Suffering,Euthanasia,Unknown,30,True,2017,4,2017-05,5,2017,3,12,brown,
1 year,A714136,Bird,cockatiel,green/yellow,2014-10-18 00:00:00,2015-10-22 11:35:00,2015-10-22 11:35:00,,,Adoption,Unknown,369,False,2014,10,2015-10,10,2015,3,11,green,yellow
1 year,A754436,Bird,dove,gray,2016-07-20 00:00:00,2017-07-20 18:34:00,2017-07-20 18:34:00,,Suffering,Euthanasia,Unknown,365,True,2016,7,2017-07,7,2017,3,18,gray,
1 year,A720723,Bird,chicken,black/red,2015-02-14 00:00:00,2016-03-08 17:43:00,2016-03-08 17:43:00,Rooster 7,,Adoption,Intact Male,388,False,2015,2,2016-03,3,2016,1,17,black,red
1 year,A719836,Bird,pigeon,gray,2015-01-28 00:00:00,2016-01-28 16:31:00,2016-01-28 16:31:00,,Suffering,Euthanasia,Unknown,365,True,2015,1,2016-01,1,2016,3,16,gray,
6 months,A737253,Bird,bantam,black/white,2016-04-24 00:00:00,2016-10-30 00:00:00,2016-10-30 00:00:00,,Partner,Transfer,Intact Male,189,True,2016,4,2016-10,10,2016,6,0,black,white
